run_id,series_id,family,track,seed,trajectory,checkpoint,vus_pr,auprc,vus_roc,auroc,score_sha256,data_sha256,config_sha256,vendor_sha
057_SMD_id_1_Facility_tr_4529_1st_4629__seed_2027__PAPERNEG_NONOVERLAP__LAST,057_SMD_id_1_Facility_tr_4529_1st_4629,SMD,M,2027,PAPERNEG_NONOVERLAP,LAST,0.14414835392138012,0.17622786058988524,0.8316489365089531,0.8993650895605363,a9d175795b77ccc23ed1d786ab51f0adfa88264176cc32a1cb6ba5887838d2a1,1679708d35fe5fae0d3592b429c0f0970ef36f3e95e686e0a2dda03f619dcc75,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
057_SMD_id_1_Facility_tr_4529_1st_4629__seed_2027__PAPERNEG__BEST,057_SMD_id_1_Facility_tr_4529_1st_4629,SMD,M,2027,PAPERNEG,BEST,0.39732282099744404,0.4697488667749534,0.902544555797954,0.9570409624059959,2cb9634ddc1859e0295ca3b72eae97efad9358a2533f94e38f53876ed32ffd34,1679708d35fe5fae0d3592b429c0f0970ef36f3e95e686e0a2dda03f619dcc75,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
057_SMD_id_1_Facility_tr_4529_1st_4629__seed_2027__PAPERNEG__LAST,057_SMD_id_1_Facility_tr_4529_1st_4629,SMD,M,2027,PAPERNEG,LAST,0.15559944660593536,0.19395938386583403,0.832153778028977,0.9071814346771665,46582cf1634bf8c377f97efa5d8552e62516e71817a2eada64ec9498b9ee2a29,1679708d35fe5fae0d3592b429c0f0970ef36f3e95e686e0a2dda03f619dcc75,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
057_SMD_id_1_Facility_tr_4529_1st_4629__seed_2027__RAND_BN__BN_CALIBRATED,057_SMD_id_1_Facility_tr_4529_1st_4629,SMD,M,2027,RAND_BN,BN_CALIBRATED,0.19608518175872447,0.22714445895469848,0.8666295247995328,0.9312819084911652,d74481c3ad1663d1e68efa024bf2c45751c36566061cc9da4fc0659fb9037839,1679708d35fe5fae0d3592b429c0f0970ef36f3e95e686e0a2dda03f619dcc75,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
144_SMAP_id_1_Sensor_tr_2052_1st_5300__seed_2027__OFFICIAL__BEST,144_SMAP_id_1_Sensor_tr_2052_1st_5300,SMAP,M,2027,OFFICIAL,BEST,0.5338618901188367,0.5204767461047308,0.8614661696583398,0.8566915498899523,5d4970b22fc3ea2e2a604a3bd99913e5df8bc2959c3ba1ffd09ea4171d19b2e6,a7f18a2e1a01899f56c32dfff6139248fbc3d32b15b6c21e1766a8fe79d84aaf,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
144_SMAP_id_1_Sensor_tr_2052_1st_5300__seed_2027__OFFICIAL__LAST,144_SMAP_id_1_Sensor_tr_2052_1st_5300,SMAP,M,2027,OFFICIAL,LAST,0.7791216762965509,0.7619648747985964,0.9608134957467547,0.9576915564344155,04d5de0759bef36cf4088c158899b01cea578f7053943094a9ea54600398786e,a7f18a2e1a01899f56c32dfff6139248fbc3d32b15b6c21e1766a8fe79d84aaf,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
144_SMAP_id_1_Sensor_tr_2052_1st_5300__seed_2027__PAPERNEG_NONOVERLAP__BEST,144_SMAP_id_1_Sensor_tr_2052_1st_5300,SMAP,M,2027,PAPERNEG_NONOVERLAP,BEST,0.4258213631474609,0.41311063372260265,0.7048219245089921,0.6980143092168191,6a44639b79cd4203c35045ec7af21a11e59d83b14e54c7580602e7e433fddffe,a7f18a2e1a01899f56c32dfff6139248fbc3d32b15b6c21e1766a8fe79d84aaf,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
144_SMAP_id_1_Sensor_tr_2052_1st_5300__seed_2027__PAPERNEG_NONOVERLAP__LAST,144_SMAP_id_1_Sensor_tr_2052_1st_5300,SMAP,M,2027,PAPERNEG_NONOVERLAP,LAST,0.41329143073510943,0.4044123005662263,0.763485571542445,0.7578445458444673,f06e8752ba8b9a4348d7a7a0142caafb5d8ab0e92687af82928340d6e1f6308d,a7f18a2e1a01899f56c32dfff6139248fbc3d32b15b6c21e1766a8fe79d84aaf,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
144_SMAP_id_1_Sensor_tr_2052_1st_5300__seed_2027__PAPERNEG__BEST,144_SMAP_id_1_Sensor_tr_2052_1st_5300,SMAP,M,2027,PAPERNEG,BEST,0.4818600760639133,0.47016598549145855,0.8078193002434602,0.8025066048735107,060ba3aebcea75fed6a0b5f3bdc4631a7af74c94818493c20c5285b0f2b8141b,a7f18a2e1a01899f56c32dfff6139248fbc3d32b15b6c21e1766a8fe79d84aaf,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
144_SMAP_id_1_Sensor_tr_2052_1st_5300__seed_2027__PAPERNEG__LAST,144_SMAP_id_1_Sensor_tr_2052_1st_5300,SMAP,M,2027,PAPERNEG,LAST,0.46305061615628157,0.4515666128978113,0.7946326837747261,0.7890275909529343,38b3e44b7b57d6a69845d9522fdef9cca45ab1e063f3f6c1b4dde01f4ec32bcf,a7f18a2e1a01899f56c32dfff6139248fbc3d32b15b6c21e1766a8fe79d84aaf,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
