aggregation,family,subgroup,arm,metric,value,n_valid,n_total
fileweighted,ALL,ALL,CTRL_CLS_NATIVE_W240,anomaly_free_fp_count,2080.75,4,492
fileweighted,ALL,ALL,CTRL_CLS_NATIVE_W240,anomaly_free_mean_excess,0.0048416443093177,4,492
fileweighted,ALL,ALL,CTRL_CLS_NATIVE_W240,anomaly_free_score_p95,0.00791798718273635,4,492
fileweighted,ALL,ALL,CTRL_PATCH_MEAN_NATIVE_W240,f1_max,0.5407520166143123,488,492
fileweighted,ALL,ALL,CTRL_PATCH_MEAN_NATIVE_W240,auprc,0.1520333003980338,488,492
fileweighted,ALL,ALL,CTRL_PATCH_MEAN_NATIVE_W240,vus_pr,0.763829941510224,488,492
fileweighted,ALL,ALL,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_fp_rate,1.0,4,492
fileweighted,ALL,ALL,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_fp_count,2080.75,4,492
fileweighted,ALL,ALL,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_mean_excess,0.00559202239703175,4,492
fileweighted,ALL,ALL,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_score_p95,0.0095750223845243,4,492
