aggregation,family,subgroup,arm,metric,value,n_valid,n_total
family3,NAB,ALL,CTRL_PATCH_MEAN_NATIVE_W240,auprc,0.49496646153735124,5,5
family3,NAB,ALL,CTRL_PATCH_MEAN_NATIVE_W240,vus_pr,0.8262834440388508,5,5
family3,NAB,ALL,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_fp_rate,1.0,1,5
family3,NAB,ALL,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_fp_count,4032.0,1,5
family3,NAB,ALL,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_mean_excess,0.007271804285073,1,5
family3,NAB,ALL,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_score_p95,0.0110390409827232,1,5
family3,NASA,ALL,FINAL_DEFAULT,f1_max,0.7206143142954192,2,2
family3,NASA,ALL,FINAL_DEFAULT,auprc,0.5587356589195436,2,2
family3,NASA,ALL,FINAL_DEFAULT,vus_pr,0.49694275306301194,2,2
family3,NASA,ALL,FINAL_DEFAULT,anomaly_free_fp_rate,,0,2
family3,NASA,ALL,FINAL_DEFAULT,anomaly_free_fp_count,,0,2
family3,NASA,ALL,FINAL_DEFAULT,anomaly_free_mean_excess,,0,2
family3,NASA,ALL,FINAL_DEFAULT,anomaly_free_score_p95,,0,2
family3,NASA,ALL,MATCH_FINAL_POSITION,f1_max,0.7319728652537878,2,2
family3,NASA,ALL,MATCH_FINAL_POSITION,auprc,0.5168143948031265,2,2
family3,NASA,ALL,MATCH_FINAL_POSITION,vus_pr,0.47983227260243677,2,2
family3,NASA,ALL,MATCH_FINAL_POSITION,anomaly_free_fp_rate,,0,2
family3,NASA,ALL,MATCH_FINAL_POSITION,anomaly_free_fp_count,,0,2
family3,NASA,ALL,MATCH_FINAL_POSITION,anomaly_free_mean_excess,,0,2
family3,NASA,ALL,MATCH_FINAL_POSITION,anomaly_free_score_p95,,0,2
family3,NASA,ALL,MATCH_FINAL_ROW,f1_max,0.7251566528820197,2,2
family3,NASA,ALL,MATCH_FINAL_ROW,auprc,0.5412583488284028,2,2
family3,NASA,ALL,MATCH_FINAL_ROW,vus_pr,0.49241467788679105,2,2
family3,NASA,ALL,MATCH_FINAL_ROW,anomaly_free_fp_rate,,0,2
family3,NASA,ALL,MATCH_FINAL_ROW,anomaly_free_fp_count,,0,2
family3,NASA,ALL,MATCH_FINAL_ROW,anomaly_free_mean_excess,,0,2
family3,NASA,ALL,MATCH_FINAL_ROW,anomaly_free_score_p95,,0,2
family3,NASA,ALL,SCALE_P,f1_max,0.6888686068830954,2,2
family3,NASA,ALL,SCALE_P,auprc,0.4685219536670918,2,2
family3,NASA,ALL,SCALE_P,vus_pr,0.46470951045494985,2,2
family3,NASA,ALL,SCALE_P,anomaly_free_fp_rate,,0,2
family3,NASA,ALL,SCALE_P,anomaly_free_fp_count,,0,2
family3,NASA,ALL,SCALE_P,anomaly_free_mean_excess,,0,2
family3,NASA,ALL,SCALE_P,anomaly_free_score_p95,,0,2
family3,NASA,ALL,IHP0_NCTP0,f1_max,0.7349944604661585,2,2
family3,NASA,ALL,IHP0_NCTP0,auprc,0.4888045566071547,2,2
family3,NASA,ALL,IHP0_NCTP0,vus_pr,0.4853484626303164,2,2
family3,NASA,ALL,IHP0_NCTP0,anomaly_free_fp_rate,,0,2
family3,NASA,ALL,IHP0_NCTP0,anomaly_free_fp_count,,0,2
family3,NASA,ALL,IHP0_NCTP0,anomaly_free_mean_excess,,0,2
family3,NASA,ALL,IHP0_NCTP0,anomaly_free_score_p95,,0,2
family3,NASA,ALL,IHP1_NCTP0,f1_max,0.7224053011277535,2,2
family3,NASA,ALL,IHP1_NCTP0,auprc,0.5083256877838234,2,2
