series_id,family,subgroup,contrast_id,candidate,control,formula,metric,paired_delta
realAWSCloudwatch__ec2_cpu_utilization_53ea38,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,auprc,0.0101396286655504
realAWSCloudwatch__ec2_cpu_utilization_53ea38,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,vus_pr,0.0233796704425733
realAWSCloudwatch__ec2_cpu_utilization_53ea38,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,f1_max,0.0
realAWSCloudwatch__ec2_cpu_utilization_53ea38,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,auprc,-0.0536911530562229
realAWSCloudwatch__ec2_cpu_utilization_53ea38,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,vus_pr,-0.0027086946745819
realAWSCloudwatch__ec2_cpu_utilization_53ea38,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,f1_max,0.1333333333333334
realAWSCloudwatch__ec2_cpu_utilization_53ea38,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,auprc,0.0029239594007025
realAWSCloudwatch__ec2_cpu_utilization_53ea38,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,vus_pr,0.0033812570916088
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,f1_max,-0.0666666666666667
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,auprc,0.0009151906165464
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,vus_pr,-0.0018271197339811
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,f1_max,0.0999999999999999
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,auprc,0.1324106005590714
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,vus_pr,-0.0097846912063793
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,f1_max,0.0999999999999999
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,auprc,0.1347064815049778
