arm,f1_max,auprc,vus_pr,n_subdatasets,n_series
IDX_U,0.6621415802283578,0.3192123373036415,0.6974945565524445,11,492
REL_U,0.6354087742196343,0.29740142920981977,0.6872943317067485,11,492
