track,paper_group,ihp_f1_max,ihp_auprc,ihp_vus_pr,control_f1_max,control_auprc,control_vus_pr,n_series,delta_f1_max,delta_auprc,delta_vus_pr,paper_vit4ts_f1_max,source_type,comparison_type,doi,url,delta_vs_paper_vit4ts_f1_max,higher_than_paper_vit4ts
NAB,NAB-Artificial,0.612962962962963,0.29264591252710875,0.5225918805750024,0.44498556998557,0.2854041403408756,0.5175838425383678,6,0.16797739297739306,0.007241772186233175,0.005008038036634632,0.545,external_paper_reported,descriptive_external_not_paired,10.1609/aaai.v40i26.39319,https://ojs.aaai.org/index.php/AAAI/article/view/39319,0.067962962962963,True
NAB,NAB-AWS,0.5488925934746368,0.29555593433585925,0.7044674196942216,0.5580429202720224,0.30158820479103593,0.7049635419887824,17,-0.009150326797385588,-0.00603227045517668,-0.0004961222945608634,0.4,external_paper_reported,descriptive_external_not_paired,10.1609/aaai.v40i26.39319,https://ojs.aaai.org/index.php/AAAI/article/view/39319,0.1488925934746368,True
NAB,NAB-AdExchange,0.6244588744588745,0.33842714689735215,0.6846365370397706,0.5900000000000001,0.33320866451967296,0.6680579230762025,5,0.03445887445887441,0.00521848237767919,0.01657861396356808,0.615,external_paper_reported,descriptive_external_not_paired,10.1609/aaai.v40i26.39319,https://ojs.aaai.org/index.php/AAAI/article/view/39319,0.0094588744588745,True
NAB,NAB-Traffic,0.7793650793650794,0.5001893493461294,0.7357870304307148,0.6880952380952381,0.48141997749536614,0.7196730941702947,7,0.09126984126984128,0.018769371850763217,0.016113936260420125,0.615,external_paper_reported,descriptive_external_not_paired,10.1609/aaai.v40i26.39319,https://ojs.aaai.org/index.php/AAAI/article/view/39319,0.16436507936507938,True
NAB,NAB-Tweets,0.6477489177489177,0.2799268402378667,0.8717973019167913,0.6564790764790766,0.2915287557203501,0.8735020700859518,10,-0.00873015873015881,-0.011601915482483405,-0.001704768169160542,0.597,external_paper_reported,descriptive_external_not_paired,10.1609/aaai.v40i26.39319,https://ojs.aaai.org/index.php/AAAI/article/view/39319,0.050748917748917766,True
NASA,NASA-MSL,0.6844412788857234,0.45297761326669,0.5112561617466721,0.6922022422022422,0.42800963736817377,0.5120118615115858,27,-0.007760963316518876,0.024967975898516237,-0.000755699764913742,0.543,external_paper_reported,descriptive_external_not_paired,10.1609/aaai.v40i26.39319,https://ojs.aaai.org/index.php/AAAI/article/view/39319,0.14144127888572333,True
NASA,NASA-SMAP,0.7603693233697836,0.5636765779618563,0.44845999110855356,0.777786678730075,0.5495994860844617,0.4537226185643328,53,-0.01741735536029143,0.014077091877394587,-0.005262627455779267,0.726,external_paper_reported,descriptive_external_not_paired,10.1609/aaai.v40i26.39319,https://ojs.aaai.org/index.php/AAAI/article/view/39319,0.0343693233697836,True
Yahoo,Yahoo-A1,0.6569339449936465,0.3279722465245957,0.6931610644459015,0.6283135604031127,0.251123712284427,0.6564182832793335,67,0.028620384590533843,0.07684853424016874,0.03674278116656804,0.614,external_paper_reported,descriptive_external_not_paired,10.1609/aaai.v40i26.39319,https://ojs.aaai.org/index.php/AAAI/article/view/39319,0.042933944993646556,True
Yahoo,Yahoo-A2,0.8884682539682539,0.28183444269804137,0.7219269546874422,0.8758037518037518,0.22343108444353837,0.6858845980846524,100,0.0126645021645021,0.05840335825450299,0.03604235660278976,0.892,external_paper_reported,descriptive_external_not_paired,10.1609/aaai.v40i26.39319,https://ojs.aaai.org/index.php/AAAI/article/view/39319,-0.003531746031746108,False
Yahoo,Yahoo-A3,0.668527916725891,0.11208175505440499,0.9202630202904534,0.6632227867614057,0.0757055749163262,0.9172250604144665,100,0.005305129964485289,0.03637618013807879,0.003037959875986873,0.614,external_paper_reported,descriptive_external_not_paired,10.1609/aaai.v40i26.39319,https://ojs.aaai.org/index.php/AAAI/article/view/39319,0.05452791672589097,True
Yahoo,Yahoo-A4,0.41138823655816525,0.06604789149015212,0.8580927601413663,0.4145646916834829,0.050396483343789863,0.8511947550602632,100,-0.0031764551253176676,0.01565140814636226,0.0068980050811030535,0.565,external_paper_reported,descriptive_external_not_paired,10.1609/aaai.v40i26.39319,https://ojs.aaai.org/index.php/AAAI/article/view/39319,-0.1536117634418347,False
