track,paper_group,arm,f1_max,auprc,vus_pr,n_series
NAB,NAB-Artificial,IDX_U,0.612962962962963,0.29264591252710875,0.5225918805750024,6
NAB,NAB-Artificial,REL_U,0.44498556998557,0.2854041403408756,0.5175838425383678,6
NAB,NAB-AWS,IDX_U,0.5488925934746368,0.29555593433585925,0.7044674196942216,17
NAB,NAB-AWS,REL_U,0.5580429202720224,0.30158820479103593,0.7049635419887824,17
NAB,NAB-AdExchange,IDX_U,0.6244588744588745,0.33842714689735215,0.6846365370397706,5
NAB,NAB-AdExchange,REL_U,0.5900000000000001,0.33320866451967296,0.6680579230762025,5
NAB,NAB-Traffic,IDX_U,0.7793650793650794,0.5001893493461294,0.7357870304307148,7
NAB,NAB-Traffic,REL_U,0.6880952380952381,0.48141997749536614,0.7196730941702947,7
NAB,NAB-Tweets,IDX_U,0.6477489177489177,0.2799268402378667,0.8717973019167913,10
NAB,NAB-Tweets,REL_U,0.6564790764790766,0.2915287557203501,0.8735020700859518,10
NASA,NASA-MSL,IDX_U,0.6844412788857234,0.45297761326669,0.5112561617466721,27
NASA,NASA-MSL,REL_U,0.6922022422022422,0.42800963736817377,0.5120118615115858,27
NASA,NASA-SMAP,IDX_U,0.7603693233697836,0.5636765779618563,0.44845999110855356,53
NASA,NASA-SMAP,REL_U,0.777786678730075,0.5495994860844617,0.4537226185643328,53
Yahoo,Yahoo-A1,IDX_U,0.6569339449936465,0.3279722465245957,0.6931610644459015,67
Yahoo,Yahoo-A1,REL_U,0.6283135604031127,0.251123712284427,0.6564182832793335,67
Yahoo,Yahoo-A2,IDX_U,0.8884682539682539,0.28183444269804137,0.7219269546874422,100
Yahoo,Yahoo-A2,REL_U,0.8758037518037518,0.22343108444353837,0.6858845980846524,100
Yahoo,Yahoo-A3,IDX_U,0.668527916725891,0.11208175505440499,0.9202630202904534,100
Yahoo,Yahoo-A3,REL_U,0.6632227867614057,0.0757055749163262,0.9172250604144665,100
Yahoo,Yahoo-A4,IDX_U,0.41138823655816525,0.06604789149015212,0.8580927601413663,100
Yahoo,Yahoo-A4,REL_U,0.4145646916834829,0.050396483343789863,0.8511947550602632,100
