trajectory,checkpoint,arm,track,seed,files,families,vus_pr,auprc,vus_roc,auroc
OFFICIAL,LAST,OFFICIAL_LAST,M,2027,180,17,0.4091209875435601,0.3623013215243476,0.778762628114753,0.7467994260059259
OFFICIAL,LAST,OFFICIAL_LAST,U,2027,350,23,0.527147124367735,0.4628677955356378,0.8831739293999741,0.8603121268705715
PAPERNEG,LAST,PAPERNEG_LAST,M,2027,180,17,0.40640064631598943,0.3603284696605186,0.779956322736927,0.7480755312926158
PAPERNEG,LAST,PAPERNEG_LAST,U,2027,350,23,0.5261755315503058,0.46226928944415246,0.8836374152886108,0.8608089617475582
PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,M,2027,180,17,0.41021359992065903,0.3628303671646981,0.7798535916635867,0.748178437684105
PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,U,2027,350,23,0.5191913274451146,0.45531189610145945,0.8824117780619077,0.859937789415624
