trajectory,checkpoint,arm,track,seed,files,families,vus_pr,auprc,vus_roc,auroc
PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,M,2027,180,17,0.41021359992065903,0.3628303671646981,0.7798535916635867,0.748178437684105
PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,U,2027,350,23,0.5191913274451146,0.45531189610145945,0.8824117780619077,0.859937789415624
