run_id,series_id,family,track,seed,trajectory,checkpoint,arm,vus_pr,auprc,vus_roc,auroc,score_sha256,data_sha256,config_sha256,vendor_sha
008_MSL_id_7_Sensor_tr_656_1st_1630__seed_2027__PAPERNEG_NONOVERLAP__LAST,008_MSL_id_7_Sensor_tr_656_1st_1630,MSL,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.5906207552284345,0.5731069828160485,0.9245158825036439,0.9329085639947063,1d1ca9a9dcd0255573fa5d72f54b2da02f54d85f72caf0adb5aef10f4c4cb8e0,3aa7e36a9faa472298cc512e655dd29edc5b1ddcef958a16337ce43774b65873,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
008_NAB_id_8_Synthetic_tr_1007_1st_2734__seed_2027__PAPERNEG_NONOVERLAP__LAST,008_NAB_id_8_Synthetic_tr_1007_1st_2734,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.8122145927859987,0.7900511281475985,0.9370139918057655,0.9235285408175437,40f3029701023ff030e2a43c5ea7ddf39add6e68a5e293422dc8d8edec144826,15c3ba9c13c812ac89aed5af5498725db2c7e1343404d18a18744b1d37bd53bf,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
009_MSL_id_8_Sensor_tr_714_1st_1390__seed_2027__PAPERNEG_NONOVERLAP__LAST,009_MSL_id_8_Sensor_tr_714_1st_1390,MSL,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.11949734938498664,0.030456811369790896,0.9360805909643449,0.8857310825564794,e96ba4927fc856280c01c96578dcad470f08e76dc50d7330cedb5561fa6bd5d6,18843c9e5be378fa40bc4c7cc5a42374683c18041a7bd286c22b90388d285e07,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
009_NAB_id_9_Traffic_tr_500_1st_438__seed_2027__PAPERNEG_NONOVERLAP__LAST,009_NAB_id_9_Traffic_tr_500_1st_438,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.07913263807957266,0.07512042645577455,0.3936626579962422,0.38704655812624966,fd3960b6dd429db5fe8821a567f935fc62c907c6115e08b0f254b560aa8adb03,65730f8beb03865bc0a69ff4209649fe5387b3f057a87f09a70379969c930ebe,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
010_MSL_id_9_Sensor_tr_554_1st_1172__seed_2027__PAPERNEG_NONOVERLAP__LAST,010_MSL_id_9_Sensor_tr_554_1st_1172,MSL,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.039959064263062956,0.03443242745434103,0.5803060007258128,0.563253987531374,f0f159912c511a6820a6d5d15f949818968df1d31db90b0240c9b1117bfcadf3,45f76ed55b0e19b7d43f5bf54a4a8695a29c2ede9e3dcd3ae1ccb6c2aa8ea0d2,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
010_NAB_id_10_WebService_tr_500_1st_271__seed_2027__PAPERNEG_NONOVERLAP__LAST,010_NAB_id_10_WebService_tr_500_1st_271,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.27282375167858514,0.20490087194833181,0.57994806038838,0.4736549930211902,fc9faef93d25949c5afae51711d27305fd9dbb6e888189cca1fd134b83e08f98,af6be1972ec7cf6b33d267f7f96e38e9781fce87917c461870a1ff83dcd12c3f,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
011_NAB_id_11_Facility_tr_1007_1st_1526__seed_2027__PAPERNEG_NONOVERLAP__LAST,011_NAB_id_11_Facility_tr_1007_1st_1526,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.9250064601551754,0.9238323213527638,0.9700747600630218,0.9657595589133685,b4c1d1dbbd44de33974f43f34d5cfd2f3adf0c2290b0c0d8fd4ca05d72dbe3d8,6c0b9d9ca9196d4c392b74bd46eb20166b9c321fd0e2689733c28be6d21fc595,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
012_MSL_id_11_Sensor_tr_539_1st_940__seed_2027__PAPERNEG_NONOVERLAP__LAST,012_MSL_id_11_Sensor_tr_539_1st_940,MSL,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.051318979477425634,0.04042824011304119,0.47506932184154993,0.43997494639974943,8f8de1075a5f86ecb8ebac68abd5879ac3d840db4ef1aaa6ad13ac96f00e9377,cfce0af4be8e3121ae33f6ec2ee5adc298b972a6ef50ee4ef479abc907acc88d,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
013_MSL_id_12_Sensor_tr_554_1st_1200__seed_2027__PAPERNEG_NONOVERLAP__LAST,013_MSL_id_12_Sensor_tr_554_1st_1200,MSL,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.027667691304263633,0.022606028867702445,0.7511412437948531,0.7434025828186412,f30f8fd4bc8f97ff641bc6b1c524490c9fc5a93ba0ef0020be12d0a002d03885,e7505266bfefae5aa8ebcfc62a4c2120d7021b304e3ef4048a9e46e0a2daeb37,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
013_NAB_id_13_Traffic_tr_623_1st_2084__seed_2027__PAPERNEG_NONOVERLAP__LAST,013_NAB_id_13_Traffic_tr_623_1st_2084,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.974537017930228,0.8838411871813597,0.9979053630763454,0.9880917329733145,3826315e227223c6c6af6060c574af1c125b69afe73b1d4468b0a5d64974e351,92d55d1a37735b363e7d4dd37c00c5d36723db77d0f665ae99931078b4c45948,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
014_MSL_id_13_Sensor_tr_1525_1st_4575__seed_2027__PAPERNEG_NONOVERLAP__LAST,014_MSL_id_13_Sensor_tr_1525_1st_4575,MSL,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.07553024069290394,0.0651058513608524,0.7977132587787804,0.7908570489826283,8bf42c69ca0654010626cc3eacec538499b7b37f18681d9185b0ef6e7e3d4c87,90ec3929382349d234ea68c55aa6420531b48a8c5f311ead84996e1f8bd2eaaa,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
014_NAB_id_14_WebService_tr_500_1st_1045__seed_2027__PAPERNEG_NONOVERLAP__LAST,014_NAB_id_14_WebService_tr_500_1st_1045,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.27419309430616795,0.27151508089215953,0.8542937460418801,0.8527313319399582,f9594b1a34ce978340fb5a9af0406a688a5ff8fbc51183eb4c95af4d3cd37d9b,f60ad21655a727f5f20477d0c92bdd281c810a6ffdf3d872e8690fe00887844f,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
015_MSL_id_14_Sensor_tr_575_1st_1250__seed_2027__PAPERNEG_NONOVERLAP__LAST,015_MSL_id_14_Sensor_tr_575_1st_1250,MSL,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.7337878198706135,0.7219503824338445,0.957324356067587,0.9551345664302474,4876c5166bcab2f508529a1191be98ffd54ee5b558292ff7bab11361b9e39d3c,b3eb7ec7a9704cdd192cfa3404bd972486b335501fa7a4fc771ef38b3da04f01,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
015_NAB_id_15_Synthetic_tr_1007_1st_2787__seed_2027__PAPERNEG_NONOVERLAP__LAST,015_NAB_id_15_Synthetic_tr_1007_1st_2787,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.49261384053844165,0.4833761314610091,0.8368034128248604,0.8107516121489371,89dcade0f736f3d07b0daa3c2daef4adaa9e3e435a4fcc877d1f0469b8556ff1,ffb91e1bd3f41a9f23b37f7427d3ebb3b9024b854ff136adb81e4b0a5be00b34,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
016_MSL_id_15_Sensor_tr_500_1st_780__seed_2027__PAPERNEG_NONOVERLAP__LAST,016_MSL_id_15_Sensor_tr_500_1st_780,MSL,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.31655961760868145,0.31227165689326375,0.8678782297271399,0.8751724012775842,943493d74b568913a993438deb1ff51318ea63da2ea470084f2f3350ae4300d9,c84a930aea9256b20462dcfa98da792f1e243835f1313cb6898c73a54f05018d,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
016_NAB_id_16_Environment_tr_1816_1st_3540__seed_2027__PAPERNEG_NONOVERLAP__LAST,016_NAB_id_16_Environment_tr_1816_1st_3540,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.1315382928166152,0.12801799380481343,0.6216492960571479,0.6284279141492878,855458bfdd4ee521b396d496047d57a99bf74973d9dfcc1770dd03dbe9981629,ed883ebe1556efd3f260e6991fb82aafd95cf150c69dc7ab31043e2c32598687,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
017_MSL_id_16_Sensor_tr_512_1st_1850__seed_2027__PAPERNEG_NONOVERLAP__LAST,017_MSL_id_16_Sensor_tr_512_1st_1850,MSL,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.0741020744199467,0.06334995297831808,0.39219786983915195,0.3302672518840134,8d09a08bf441165ef59845a29bc76b5224b9d830bb5019410364effd888f51f8,fc000179123916f3393b5c32dd3b6325fac3090c21333e1cebd2d485335a6f80,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
017_NAB_id_17_Synthetic_tr_1007_1st_1805__seed_2027__PAPERNEG_NONOVERLAP__LAST,017_NAB_id_17_Synthetic_tr_1007_1st_1805,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.5897714105441582,0.5835081882425623,0.7623459512834962,0.740411678175669,0bcd03e55b23d9a31f378fcf460aaa74738831cbf6ead3ff2d7f04f905341f4c,aa207fe87a529d0731d5197055e387e113035b445da99eb7ead217edd8985786,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732__seed_2027__PAPERNEG_NONOVERLAP__LAST,018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732,Daphnet,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.2461850550135415,0.2307355035899783,0.8765897832126132,0.8975254689898621,4600e78296dee3bde8423fde4d41c428fbe8064915b3321a40b98a229a5617b0,5da568d67c693756cdc934ac9ee3a19967a50b420835620f8dd77b45d01872b6,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
018_NAB_id_18_Facility_tr_500_1st_669__seed_2027__PAPERNEG_NONOVERLAP__LAST,018_NAB_id_18_Facility_tr_500_1st_669,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.31879517432761084,0.18916029579264862,0.8315211944518796,0.7461826544846741,d5c7ca51a610a0672c5eb2d1523441f210781d262503682c544b44397a2779bf,b10ceea8a6e0eb4c5e17ffc064eee845b52003d147383dedcba4239137261695,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
019_MITDB_id_1_Medical_tr_37500_1st_103211__seed_2027__PAPERNEG_NONOVERLAP__LAST,019_MITDB_id_1_Medical_tr_37500_1st_103211,MITDB,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.5402266888466266,0.5441531216391019,0.8961318179195791,0.8953000290900269,981c868751d42070372aa24d58906c3de9b9f9a3b2bf3d9a8994ef7f18659db3,5469dc6191de30427f05062ee877f923e24311578b7ecca6f551e28ebf60f238,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
019_NAB_id_19_Facility_tr_1007_1st_1171__seed_2027__PAPERNEG_NONOVERLAP__LAST,019_NAB_id_19_Facility_tr_1007_1st_1171,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.10239329938600605,0.09508349346197457,0.4841780632155113,0.536239328008813,b0cd162e45349d451f0a5c5bb76f8f8cce04c807635c594d2a0b9e9ec7e870f0,9f7c0c79aa6cebd20ba911a3bd71ca4b95230bbd75a48bde5fcdb0e4c98aa0a8,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
020_MITDB_id_2_Medical_tr_50000_1st_52315__seed_2027__PAPERNEG_NONOVERLAP__LAST,020_MITDB_id_2_Medical_tr_50000_1st_52315,MITDB,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.03395023227188303,0.03820869529927332,0.826241679990165,0.7991581358326691,e4585394e3fa3cb92e38ea7a92e4651dea14850fdaac4b308e752c5a649073eb,6ed85ae3f1c9cbf7a5feca17086e995010e6faa153e9c153e16f31c8bf335ac9,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
020_NAB_id_20_Synthetic_tr_1007_1st_2679__seed_2027__PAPERNEG_NONOVERLAP__LAST,020_NAB_id_20_Synthetic_tr_1007_1st_2679,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.6415059131578621,0.6121071589060679,0.8450976772477024,0.8094389429592795,ea34ed763a401cdd7d65e8c31f1eef5b47d6062e313f8251b7cc69c0f0ba8c21,6293559abc7cd4a1365d76ed09e637b06f29e1d212f215a63915feaa9384945a,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
021_MITDB_id_3_Medical_tr_50000_1st_57595__seed_2027__PAPERNEG_NONOVERLAP__LAST,021_MITDB_id_3_Medical_tr_50000_1st_57595,MITDB,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.7625898806786386,0.6554109968207658,0.9880519308135653,0.9674589979178875,1aa1922e5a71373e9bdebcaf36b0938e8b8c90c1dbc83e585c678024c8bd31ce,6849774aa17c3d5fb4159477c2395be3fe5aad62d7db805ad85953a6d8eb38af,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
022_MITDB_id_4_Medical_tr_50000_1st_54253__seed_2027__PAPERNEG_NONOVERLAP__LAST,022_MITDB_id_4_Medical_tr_50000_1st_54253,MITDB,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.18141752626808663,0.2577847935331181,0.6998359845177496,0.6977662584493936,e39f46df55a0a3e8bd90becec4f18c2fd6e591c6165789056dc2f91fce1f84f4,03b8f40b6d6f94ef163a92be2e9094a82f056a58ca0ef590419c44e3acf30ec9,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
022_NAB_id_22_Facility_tr_1007_1st_2980__seed_2027__PAPERNEG_NONOVERLAP__LAST,022_NAB_id_22_Facility_tr_1007_1st_2980,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.7683759316448842,0.7703989285188216,0.9663446375771804,0.9579650767916218,1cac4743d96ccdf91eede97a3f165ce39ddcf207de07faac212041285885c730,4628d577133ea18a5f09c2dd6dafb240495df37edcb83e605ec91c3fcbc36c3c,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
023_NAB_id_23_Facility_tr_4512_1st_16551__seed_2027__PAPERNEG_NONOVERLAP__LAST,023_NAB_id_23_Facility_tr_4512_1st_16551,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.6465484491257943,0.6508373116011162,0.9119645874355956,0.9115457066433572,b0f58535b218fcc692bb436ddaff8ba867720146d3def95475e9f5a361e50246,7e320e7c91d514e6dd799b1ff497716ccdee42b83b72bc5cf182481ad8560f9c,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
024_MITDB_id_6_Medical_tr_50000_1st_58118__seed_2027__PAPERNEG_NONOVERLAP__LAST,024_MITDB_id_6_Medical_tr_50000_1st_58118,MITDB,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.2032190350476811,0.6547236966393136,0.9764585894474055,0.9699183222694004,a48455823a9cb5ca0d60439beaac619108963ac3ad78b9397c654c3b0c545f00,ea191b7e60daa8dc52c571550c664e1c9bffaa74265093f231cdc0bd611a26d5,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
024_NAB_id_24_Synthetic_tr_1007_1st_2787__seed_2027__PAPERNEG_NONOVERLAP__LAST,024_NAB_id_24_Synthetic_tr_1007_1st_2787,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.41995359984940983,0.40929747656170457,0.7760106195878029,0.7480459724258534,a71754d8b6259ae8c3703bb5038442e5efc0d44d46e93e0bea3260dca8c56303,8ec475a9be59c219485e97b8fd386ad1d933fd62de1b5a18ddd0a3a39a88f7dd,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
025_MITDB_id_7_Medical_tr_37500_1st_88864__seed_2027__PAPERNEG_NONOVERLAP__LAST,025_MITDB_id_7_Medical_tr_37500_1st_88864,MITDB,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.9369004663268897,0.9140413925989207,0.9979917816839338,0.989733689442643,04a6e48651c62727d29bb19f54936517d097ff98e2d2457f32f98fff2681a992,1a692baca1e2917a0df057c776435fbfcfde91699af23767bbebaac6e30e3822,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
025_NAB_id_25_WebService_tr_3958_1st_4614__seed_2027__PAPERNEG_NONOVERLAP__LAST,025_NAB_id_25_WebService_tr_3958_1st_4614,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.1485329505127544,0.1461966912013277,0.6384078617697491,0.6369351447898053,7833847a8baa62aac5ed31566e2b5653cc2bd17204526463072c4eb6953ce076,55cd543ef14386f8ad633ccde243d300b1fc4c59aa733a3565466915dc59903a,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
026_MITDB_id_8_Medical_tr_30495_1st_30595__seed_2027__PAPERNEG_NONOVERLAP__LAST,026_MITDB_id_8_Medical_tr_30495_1st_30595,MITDB,M,2027,PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,0.3601267400144493,0.3729708275667051,0.7922098415655423,0.7901166399127497,867aaaf8736c1f4255595c7898f1098bd8b30011f5a7d7defecfde72ace3fb52,d17329041493146043122e7c385e8ff96885a8077ea33572ec1cade89303594b,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
