trajectory,checkpoint,arm,track,family,seed,files,vus_pr,auprc,vus_roc,auroc
PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,U,SMAP,2027,17,0.7794448755993298,0.7777104103457143,0.9195823998938345,0.915859074760059
PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,U,SMD,2027,33,0.429172972924449,0.39091876670624587,0.9031409969934798,0.8940368030551925
PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,U,SVDB,2027,18,0.6963523511816779,0.6328106246648372,0.9818940274776531,0.9720759166756695
PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,U,SWaT,2027,1,0.09687874194172662,0.09661408035553712,0.182208035248675,0.19903234159369868
PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,U,Stock,2027,8,0.72332152682615,0.08217622718750442,0.8446087865541574,0.49351027045916607
PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,U,TAO,2027,2,0.8766799550391162,0.11290276457259772,0.9341774418067553,0.49485270281453614
PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,U,TODS,2027,13,0.7271895303181505,0.3199799869817169,0.8694434247325751,0.7622197935883714
PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,U,UCR,2027,70,0.44137320310598255,0.4511232594025341,0.9335842602686573,0.9265010883601107
PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,U,WSD,2027,20,0.5279276809425277,0.4590276854549498,0.9435211749072103,0.9425215180233126
PAPERNEG_NONOVERLAP,LAST,PAPERNEG_NONOVERLAP_LAST,U,YAHOO,2027,30,0.6168090043156009,0.47502150571564816,0.9529480838708738,0.9519289040180279
