trajectory,checkpoint,track,seed,files,training_runtime_seconds_sum,training_runtime_seconds_mean,scoring_runtime_seconds_sum,scoring_runtime_seconds_mean,training_peak_vram_mib_max,scoring_peak_vram_mib_max
PAPERNEG_NONOVERLAP,LAST,U,2027,350,1068.420143100957,3.0526289802884485,638.1869346005842,1.8233912417159548,1165.27490234375,198.5048828125
PAPERNEG_NONOVERLAP,LAST,M,2027,180,582.0084793998394,3.233380441110219,814.3333887999761,4.524074382222089,1589.05419921875,237.60498046875
PAPERNEG,LAST,U,2027,350,1073.1720881988294,3.0662059662823697,633.0057459008531,1.8085878454310087,1165.27490234375,198.5048828125
PAPERNEG,LAST,M,2027,180,615.0349262001691,3.416860701112051,853.9209978005383,4.744005543336324,1589.05419921875,237.60498046875
OFFICIAL,LAST,U,2027,350,1060.9483835002175,3.031281095714907,685.8626230009831,1.9596074942885233,1164.14599609375,198.5048828125
OFFICIAL,LAST,M,2027,180,607.8274395004846,3.3768191083360257,903.3671926007373,5.018706625559652,1587.92529296875,237.60498046875
