display_name,arm,metric,value_status,is_final,NAB,NASA,YAHOO,equal11,fileweighted
w/o patch-level embedding,CTRL_CLS_LEGACY,VUS-PR,local_same_protocol_corrected_primary,False,0.7997694774509161,0.506752810409788,0.8052340395311044,0.7484808332907794,0.7600565654617034
w/o cross-patch comparison,MATCH_FINAL_POSITION,VUS-PR,local_same_protocol_corrected_primary,False,0.7175590383815893,0.4798322726024367,0.7817124001615587,0.6976644852508233,0.73239411899008
w/o column-wise comparison,MATCH_FINAL_ROW,VUS-PR,local_same_protocol_corrected_primary,False,0.7338263753875391,0.492414677886791,0.7866884427116849,0.7091559094143651,0.7393414493782312
w/o multi-scale embedding,SCALE_P,VUS-PR,local_same_protocol_corrected_primary,False,0.7044071521962794,0.4647095104549498,0.8151997334780908,0.7011139741639691,0.7542372567502116
Full method,FINAL_DEFAULT,VUS-PR,local_same_protocol_corrected_primary,True,0.7345810327836894,0.4969427530630119,0.8167291850401449,0.7212461282004591,0.7636901586836733
