display_name,arm,metric,value_status,is_final,NAB,NASA,YAHOO,equal11,fileweighted
w/o patch-level embedding,CTRL_CLS_LEGACY,AUPRC,local_same_protocol_corrected_primary,False,0.4396002964451358,0.4027113566258042,0.0413809783369984,0.2880861917113893,0.1358698245221931
w/o cross-patch comparison,MATCH_FINAL_POSITION,AUPRC,local_same_protocol_corrected_primary,False,0.4021310310386889,0.5168143948031265,0.0902898184195635,0.3095857471343592,0.1796104068625707
w/o column-wise comparison,MATCH_FINAL_ROW,AUPRC,local_same_protocol_corrected_primary,False,0.4139825927698329,0.5412583488284028,0.1211734489960667,0.330647587044567,0.2074765085484914
w/o multi-scale embedding,SCALE_P,AUPRC,local_same_protocol_corrected_primary,False,0.3661699822911585,0.4685219536670918,0.1483250471238984,0.3055630915714154,0.214058508410921
Full method,FINAL_DEFAULT,AUPRC,local_same_protocol_corrected_primary,True,0.4246776446611863,0.5587356589195436,0.1386057185667958,0.345025674128382,0.225995083382932
