display_name,arm,metric,value_status,is_final,NAB,NASA,YAHOO,equal11,fileweighted
w/o patch-level embedding,CTRL_CLS_LEGACY,F1-max,local_same_protocol_corrected_primary,False,0.5731049188906331,0.6072460151076503,0.5003239580190023,0.5528465869767705,0.5270036861475569
w/o cross-patch comparison,MATCH_FINAL_POSITION,F1-max,local_same_protocol_corrected_primary,False,0.64741385003885,0.7319728652537878,0.5422070751960517,0.6245312074078211,0.5777475673005193
w/o column-wise comparison,MATCH_FINAL_ROW,F1-max,local_same_protocol_corrected_primary,False,0.6814531024531023,0.7251566528820197,0.5506611683728038,0.6418384992291606,0.5875261440456709
w/o multi-scale embedding,SCALE_P,F1-max,local_same_protocol_corrected_primary,False,0.6649454740394182,0.6888686068830954,0.6862206190477065,0.6770315509231007,0.6862031134421473
Full method,FINAL_DEFAULT,F1-max,local_same_protocol_corrected_primary,True,0.6822994723530438,0.7206143142954192,0.6793475995246707,0.6881923989504309,0.688329294934311
