display_name,arm,ihp,nctp,effective_n,n_subgroups,auprc,f1_max,vus_pr
FULL,IHP1_NCTP1,1,1,488,11,0.345025674128382,0.6881923989504309,0.7212461282004591
IHP,IHP1_NCTP0,1,0,488,11,0.3222744363957023,0.6680597225705162,0.7046802411929823
NCTP,IHP0_NCTP1,0,1,488,11,0.3387930063098307,0.6823854660839598,0.7143559490264615
REL,IHP0_NCTP0,0,0,488,11,0.3001909054946213,0.6412569451888068,0.6945237619468648
