series_id,family,subgroup,n_points,n_positive,rel_vus_pr,full_vus_pr,delta_vus_pr,eligible,positive_pool,nonpositive_pool,positive_median_target,positive_distance,nonpositive_median_target,nonpositive_distance,delta_rank_ascending,delta_rank_descending,positive_selection_rank,nonpositive_selection_rank
MSL__C-1,NASA,NASA-MSL,4422,312,0.4903365454014073,0.4110488669668958,-0.07928767843451151,True,False,True,0.029174905161014897,,-0.0154133437016728,0.06387433473283871,26,463,,135.0
MSL__C-2,NASA,NASA-MSL,2815,137,0.8358011472757286,0.8856034033445862,0.049802256068857575,True,True,False,0.029174905161014897,0.02062735090784268,-0.0154133437016728,,371,118,119.0,
MSL__D-14,NASA,NASA-MSL,6300,222,0.8552374764860985,0.9119111068018044,0.056673630315705936,True,True,False,0.029174905161014897,0.02749872515469104,-0.0154133437016728,,382,107,191.0,
MSL__D-15,NASA,NASA-MSL,4232,641,0.2395316836675228,0.2603509082398361,0.020819224572313277,True,True,False,0.029174905161014897,0.00835568058870162,-0.0154133437016728,,296,193,46.0,
MSL__D-16,NASA,NASA-MSL,3642,651,0.781840349257845,0.5352599229865208,-0.24658042627132415,True,False,True,0.029174905161014897,,-0.0154133437016728,0.23116708256965135,4,485,,157.0
MSL__F-4,NASA,NASA-MSL,5666,71,0.0996170669547834,0.193366993334371,0.0937499263795876,True,True,False,0.029174905161014897,0.0645750212185727,-0.0154133437016728,,425,64,265.0,
MSL__F-5,NASA,NASA-MSL,6520,151,0.2557620954044979,0.3855317024223298,0.1297696070178319,True,True,False,0.029174905161014897,0.10059470185681701,-0.0154133437016728,,446,43,286.0,
MSL__F-7,NASA,NASA-MSL,7565,423,0.8340374430013915,0.8358988455240463,0.0018614025226547648,True,True,False,0.029174905161014897,0.027313502638360132,-0.0154133437016728,,194,295,187.0,
MSL__F-8,NASA,NASA-MSL,5829,537,0.2238129442357082,0.1666365265338155,-0.05717641770189269,True,False,True,0.029174905161014897,,-0.0154133437016728,0.04176307400021989,39,450,,122.0
MSL__M-1,NASA,NASA-MSL,4486,1141,0.1768328224976212,0.1519686430933467,-0.02486417940427449,True,False,True,0.029174905161014897,,-0.0154133437016728,0.00945083570260169,72,417,,41.0
MSL__M-2,NASA,NASA-MSL,4485,1141,0.5859292860518098,0.5835221233599686,-0.002407162691841269,True,False,True,0.029174905161014897,,-0.0154133437016728,0.01300618100983153,125,364,,59.0
MSL__M-3,NASA,NASA-MSL,4164,251,0.3075471682265619,0.3075650365187866,1.786829222466535e-05,True,True,False,0.029174905161014897,0.02915703686879023,-0.0154133437016728,,161,328,224.0,
MSL__M-4,NASA,NASA-MSL,4114,251,0.4412303996744804,0.2149221289991662,-0.2263082706753142,True,False,True,0.029174905161014897,,-0.0154133437016728,0.2108949269736414,6,483,,155.0
MSL__M-5,NASA,NASA-MSL,4335,301,0.4998932796497204,0.3479136178675146,-0.1519796617822058,True,False,True,0.029174905161014897,,-0.0154133437016728,0.136566318080533,10,479,,151.0
MSL__M-6,NASA,NASA-MSL,3614,181,0.984774931989842,0.9860753236451286,0.0013003916552866146,True,True,False,0.029174905161014897,0.027874513505728282,-0.0154133437016728,,188,301,196.0,
MSL__M-7,NASA,NASA-MSL,3743,101,0.2001315420615556,0.204022799846589,0.0038912577850334085,True,True,False,0.029174905161014897,0.02528364737598149,-0.0154133437016728,,218,271,160.0,
MSL__P-10,NASA,NASA-MSL,10408,131,1.0,0.9999872022148084,-1.2797785191587252e-05,True,False,True,0.029174905161014897,,-0.0154133437016728,0.015400545916481212,152,337,,88.0
MSL__P-11,NASA,NASA-MSL,7504,228,0.5449966986477688,0.5822857919235838,0.03728909327581498,True,True,False,0.029174905161014897,0.00811418811480008,-0.0154133437016728,,341,148,44.0,
MSL__P-14,NASA,NASA-MSL,8980,181,1.0,1.0,0.0,True,False,True,0.029174905161014897,,-0.0154133437016728,0.0154133437016728,154,329,,90.0
MSL__P-15,NASA,NASA-MSL,6538,21,0.0952756425489068,0.2086464182045158,0.11337077565560899,True,True,False,0.029174905161014897,0.0841958704945941,-0.0154133437016728,,437,52,277.0,
MSL__S-2,NASA,NASA-MSL,2753,11,0.4854227260163841,0.5076538526050812,0.022231126588697137,True,True,False,0.029174905161014897,0.00694377857231776,-0.0154133437016728,,301,188,38.0,
MSL__T-12,NASA,NASA-MSL,3575,121,0.5570633325185912,0.580126826488997,0.023063493970405857,True,True,False,0.029174905161014897,0.00611141119060904,-0.0154133437016728,,305,184,33.0,
MSL__T-13,NASA,NASA-MSL,3575,252,0.4058385590129812,0.2961427206262448,-0.10969583838673641,True,False,True,0.029174905161014897,,-0.0154133437016728,0.09428249468506361,17,472,,144.0
MSL__T-4,NASA,NASA-MSL,4489,69,0.3138293133093975,0.4444416197224917,0.13061230641309418,True,True,False,0.029174905161014897,0.10143740125207928,-0.0154133437016728,,447,42,287.0,
MSL__T-5,NASA,NASA-MSL,4490,26,0.4840007689254303,0.4860979549825106,0.0020971860570803136,True,True,False,0.029174905161014897,0.027077719103934583,-0.0154133437016728,,199,290,182.0,
MSL__T-8,NASA,NASA-MSL,2267,102,0.5174084114779173,0.5359316598396318,0.018523248361714484,True,True,False,0.029174905161014897,0.010651656799300413,-0.0154133437016728,,290,199,60.0,
MSL__T-9,NASA,NASA-MSL,1535,112,0.6080991165688105,0.8705444265743826,0.26244531000557203,True,True,False,0.029174905161014897,0.23327040484455713,-0.0154133437016728,,479,10,319.0,
SMAP__A-1,NASA,NASA-SMAP,11520,85,0.7167392026374988,0.7314322541757218,0.014693051538222979,True,True,False,0.029174905161014897,0.014481853622791918,-0.0154133437016728,,274,215,86.0,
SMAP__A-2,NASA,NASA-SMAP,10562,111,0.506976071779124,0.3658150738292944,-0.14116099794982956,True,False,True,0.029174905161014897,,-0.0154133437016728,0.12574765424815676,13,476,,148.0
SMAP__A-3,NASA,NASA-SMAP,10941,186,0.2776776911602179,0.2424951128305193,-0.035182578329698594,True,False,True,0.029174905161014897,,-0.0154133437016728,0.019769234628025795,57,432,,104.0
