series_id,family,subgroup,contrast_id,candidate,control,formula,metric,paired_delta
realAWSCloudwatch__ec2_cpu_utilization_53ea38,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,auprc,0.010139628665550404
realAWSCloudwatch__ec2_cpu_utilization_53ea38,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,vus_pr,0.023379670442573386
realAWSCloudwatch__ec2_cpu_utilization_53ea38,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,f1_max,0.0
realAWSCloudwatch__ec2_cpu_utilization_53ea38,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,auprc,-0.05369115305622291
realAWSCloudwatch__ec2_cpu_utilization_53ea38,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,vus_pr,-0.002708694674581902
realAWSCloudwatch__ec2_cpu_utilization_53ea38,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,f1_max,0.13333333333333341
realAWSCloudwatch__ec2_cpu_utilization_53ea38,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,auprc,0.0029239594007025027
realAWSCloudwatch__ec2_cpu_utilization_53ea38,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,vus_pr,0.003381257091608858
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,f1_max,-0.06666666666666671
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,auprc,0.0009151906165464907
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,vus_pr,-0.0018271197339811973
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,f1_max,0.09999999999999998
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,auprc,0.1324106005590714
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,vus_pr,-0.00978469120637937
