display_name,arm,canonical_arm,sample_count,median_ms_per_series,iqr_ms_per_series,p95_ms_per_series,mean_ms_per_series,std_ms_per_series,median_ms_per_window,p95_ms_per_window,peak_observed_process_rss_bytes,encoder_calls,scope,protocol_deviation
REL,IHP0_NCTP0,LEGACY_DEFAULT,488,14.598500041756779,7.658874994376674,86.28041506162843,24.70723790861857,25.80631305988459,0.5672976200003177,0.7570461984723805,1824350208,0,post-cache projection/scoring overhead,one committed pass per series; not repeated interleaved microbenchmark
IHP only,IHP1_NCTP0,IHP1_NCTP0,488,10.670950054191053,6.806599994888529,77.92454498121515,20.859817418195384,23.68922366507992,0.4367805701414389,0.6121447387038532,1824350208,0,post-cache projection/scoring overhead,one committed pass per series; not repeated interleaved microbenchmark
NCTP only,IHP0_NCTP1,IHP0_NCTP1,488,6.3311500125564635,4.622225096682087,11.950734967831522,7.181159832054886,2.5853357686955567,0.23174547476671814,0.4748629991081543,1824350208,0,post-cache projection/scoring overhead,one committed pass per series; not repeated interleaved microbenchmark
Full,IHP1_NCTP1,FINAL_DEFAULT,488,10.211549990344793,4.313624987844378,20.108459959737957,11.404791191080967,4.164043471454939,0.3728584758937359,0.6210036511183715,1824350208,0,post-cache projection/scoring overhead,one committed pass per series; not repeated interleaved microbenchmark
