series_id,family,subgroup,display_name,arm,canonical_arm,seconds_per_series,ms_per_series,windows_per_series,ms_per_window,process_rss_before_bytes,process_rss_after_bytes,python_tracemalloc_peak_bytes,encoder_calls,measurement_scope,runtime_json_sha256
MSL__D-16,NASA,NASA-MSL,IHP only,IHP1_NCTP0,IHP1_NCTP0,0.0274078999646008,27.4078999646008,57,0.4808403502561544,1405976576,1495592960,113693892,0,historical committed post-cache projection/scoring,D708AB2D2BDED6F3D969059C09D8991C5E948975EB83E939EED7B2755AB64AA4
MSL__D-16,NASA,NASA-MSL,NCTP only,IHP0_NCTP1,IHP0_NCTP1,0.005313599947839975,5.313599947839975,57,0.0932210517164908,1405976576,1495592960,113693892,0,historical committed post-cache projection/scoring,D708AB2D2BDED6F3D969059C09D8991C5E948975EB83E939EED7B2755AB64AA4
MSL__D-16,NASA,NASA-MSL,Full,IHP1_NCTP1,FINAL_DEFAULT,0.020227400003932416,20.227400003932416,57,0.3548666667356564,1405976576,1495592960,113693892,0,historical committed post-cache projection/scoring,D708AB2D2BDED6F3D969059C09D8991C5E948975EB83E939EED7B2755AB64AA4
MSL__F-4,NASA,NASA-MSL,REL,IHP0_NCTP0,LEGACY_DEFAULT,0.029470199951902032,29.470199951902032,91,0.32384835111980254,1401479168,1547931648,169551397,0,historical committed post-cache projection/scoring,1EAF70EC4D1DF8A0E182276E671F4A39E96FFBA19AE4112AA2FC408AFC1C8F4B
MSL__F-4,NASA,NASA-MSL,IHP only,IHP1_NCTP0,IHP1_NCTP0,0.028029299923218787,28.029299923218787,91,0.3080142848705361,1401479168,1547931648,169551397,0,historical committed post-cache projection/scoring,1EAF70EC4D1DF8A0E182276E671F4A39E96FFBA19AE4112AA2FC408AFC1C8F4B
MSL__F-4,NASA,NASA-MSL,NCTP only,IHP0_NCTP1,IHP0_NCTP1,0.00883780000731349,8.83780000731349,91,0.09711868139904933,1401479168,1547931648,169551397,0,historical committed post-cache projection/scoring,1EAF70EC4D1DF8A0E182276E671F4A39E96FFBA19AE4112AA2FC408AFC1C8F4B
MSL__F-4,NASA,NASA-MSL,Full,IHP1_NCTP1,FINAL_DEFAULT,0.015528899966739118,15.528899966739118,91,0.17064725238174855,1401479168,1547931648,169551397,0,historical committed post-cache projection/scoring,1EAF70EC4D1DF8A0E182276E671F4A39E96FFBA19AE4112AA2FC408AFC1C8F4B
MSL__F-5,NASA,NASA-MSL,REL,IHP0_NCTP0,LEGACY_DEFAULT,0.06635520001873374,66.35520001873374,105,0.6319542858927023,1404645376,1567170560,191496133,0,historical committed post-cache projection/scoring,A90FFA0DE107C42FAABA63F6E1892730CCDF426E7D31346BF76F01BB7C2E67D0
MSL__F-5,NASA,NASA-MSL,IHP only,IHP1_NCTP0,IHP1_NCTP0,0.04148630006238818,41.48630006238818,105,0.3951076196417922,1404645376,1567170560,191496133,0,historical committed post-cache projection/scoring,A90FFA0DE107C42FAABA63F6E1892730CCDF426E7D31346BF76F01BB7C2E67D0
MSL__F-5,NASA,NASA-MSL,NCTP only,IHP0_NCTP1,IHP0_NCTP1,0.007069000042974949,7.069000042974949,105,0.06732380993309475,1404645376,1567170560,191496133,0,historical committed post-cache projection/scoring,A90FFA0DE107C42FAABA63F6E1892730CCDF426E7D31346BF76F01BB7C2E67D0
MSL__F-5,NASA,NASA-MSL,Full,IHP1_NCTP1,FINAL_DEFAULT,0.020241299993358552,20.241299993358552,105,0.19277428565103383,1404645376,1567170560,191496133,0,historical committed post-cache projection/scoring,A90FFA0DE107C42FAABA63F6E1892730CCDF426E7D31346BF76F01BB7C2E67D0
MSL__F-7,NASA,NASA-MSL,REL,IHP0_NCTP0,LEGACY_DEFAULT,0.04179749998729676,41.79749998729676,123,0.33981707306745335,1403068416,1600565248,221388056,0,historical committed post-cache projection/scoring,6256EF346788BEB7A82E77FA21BF91238534712486B0A6CE4EFD673E8E3F8C8F
MSL__F-7,NASA,NASA-MSL,IHP only,IHP1_NCTP0,IHP1_NCTP0,0.038277699961327016,38.277699961327016,123,0.3112008126937156,1403068416,1600565248,221388056,0,historical committed post-cache projection/scoring,6256EF346788BEB7A82E77FA21BF91238534712486B0A6CE4EFD673E8E3F8C8F
MSL__F-7,NASA,NASA-MSL,NCTP only,IHP0_NCTP1,IHP0_NCTP1,0.011239300016313791,11.239300016313791,123,0.09137642289686009,1403068416,1600565248,221388056,0,historical committed post-cache projection/scoring,6256EF346788BEB7A82E77FA21BF91238534712486B0A6CE4EFD673E8E3F8C8F
MSL__F-7,NASA,NASA-MSL,Full,IHP1_NCTP1,FINAL_DEFAULT,0.012268199934624135,12.268199934624135,123,0.09974146288312305,1403068416,1600565248,221388056,0,historical committed post-cache projection/scoring,6256EF346788BEB7A82E77FA21BF91238534712486B0A6CE4EFD673E8E3F8C8F
MSL__F-8,NASA,NASA-MSL,REL,IHP0_NCTP0,LEGACY_DEFAULT,0.047505400027148426,47.505400027148426,94,0.5053765960334939,1404534784,1555533824,174515592,0,historical committed post-cache projection/scoring,40B839097CBB57E546F9D56C4B1F594DCD9FAF2FB322ECBAC4918757D8DC6742
MSL__F-8,NASA,NASA-MSL,IHP only,IHP1_NCTP0,IHP1_NCTP0,0.028861099970526993,28.861099970526993,94,0.30703297840986166,1404534784,1555533824,174515592,0,historical committed post-cache projection/scoring,40B839097CBB57E546F9D56C4B1F594DCD9FAF2FB322ECBAC4918757D8DC6742
MSL__F-8,NASA,NASA-MSL,NCTP only,IHP0_NCTP1,IHP0_NCTP1,0.008891299949027598,8.891299949027598,94,0.09458829733008083,1404534784,1555533824,174515592,0,historical committed post-cache projection/scoring,40B839097CBB57E546F9D56C4B1F594DCD9FAF2FB322ECBAC4918757D8DC6742
MSL__F-8,NASA,NASA-MSL,Full,IHP1_NCTP1,FINAL_DEFAULT,0.01121880009304732,11.21880009304732,94,0.11934893716007788,1404534784,1555533824,174515592,0,historical committed post-cache projection/scoring,40B839097CBB57E546F9D56C4B1F594DCD9FAF2FB322ECBAC4918757D8DC6742
MSL__M-1,NASA,NASA-MSL,REL,IHP0_NCTP0,LEGACY_DEFAULT,0.031636000028811395,31.636000028811395,71,0.4455774651945267,1401659392,1513566208,138129858,0,historical committed post-cache projection/scoring,CC8738C95B1F48C02C9D5B6D26BD2CC1FA6162D84481AB9DA90AB74471194F8F
MSL__M-1,NASA,NASA-MSL,IHP only,IHP1_NCTP0,IHP1_NCTP0,0.03482229996006936,34.82229996006936,71,0.4904549290150614,1401659392,1513566208,138129858,0,historical committed post-cache projection/scoring,CC8738C95B1F48C02C9D5B6D26BD2CC1FA6162D84481AB9DA90AB74471194F8F
MSL__M-1,NASA,NASA-MSL,NCTP only,IHP0_NCTP1,IHP0_NCTP1,0.010249100043438375,10.249100043438375,71,0.14435352173856866,1401659392,1513566208,138129858,0,historical committed post-cache projection/scoring,CC8738C95B1F48C02C9D5B6D26BD2CC1FA6162D84481AB9DA90AB74471194F8F
MSL__M-1,NASA,NASA-MSL,Full,IHP1_NCTP1,FINAL_DEFAULT,0.014010199927724898,14.010199927724898,71,0.1973267595454211,1401659392,1513566208,138129858,0,historical committed post-cache projection/scoring,CC8738C95B1F48C02C9D5B6D26BD2CC1FA6162D84481AB9DA90AB74471194F8F
MSL__M-2,NASA,NASA-MSL,REL,IHP0_NCTP0,LEGACY_DEFAULT,0.03805609990376979,38.05609990376979,71,0.5360014070953492,1402011648,1513680896,138115901,0,historical committed post-cache projection/scoring,AA6B754262387838C0F57F9AD99CB8C0C30534E8136FC49F1A02950B0AAC7D16
MSL__M-2,NASA,NASA-MSL,IHP only,IHP1_NCTP0,IHP1_NCTP0,0.02197489992249757,21.97489992249757,71,0.3095056327112334,1402011648,1513680896,138115901,0,historical committed post-cache projection/scoring,AA6B754262387838C0F57F9AD99CB8C0C30534E8136FC49F1A02950B0AAC7D16
MSL__M-2,NASA,NASA-MSL,NCTP only,IHP0_NCTP1,IHP0_NCTP1,0.005184000008739531,5.184000008739531,71,0.07301408463013424,1402011648,1513680896,138115901,0,historical committed post-cache projection/scoring,AA6B754262387838C0F57F9AD99CB8C0C30534E8136FC49F1A02950B0AAC7D16
MSL__M-2,NASA,NASA-MSL,Full,IHP1_NCTP1,FINAL_DEFAULT,0.010460000019520521,10.460000019520521,71,0.14732394393690876,1402011648,1513680896,138115901,0,historical committed post-cache projection/scoring,AA6B754262387838C0F57F9AD99CB8C0C30534E8136FC49F1A02950B0AAC7D16
MSL__M-3,NASA,NASA-MSL,REL,IHP0_NCTP0,LEGACY_DEFAULT,0.03443409991450608,34.43409991450608,66,0.5217287865834255,1405267968,1506316288,130269144,0,historical committed post-cache projection/scoring,9EAEA4DEA7584A51593AB73D0884181CC64CF3080BB4317D3A28D9BFC3035646
MSL__M-3,NASA,NASA-MSL,IHP only,IHP1_NCTP0,IHP1_NCTP0,0.031111399992369115,31.111399992369115,66,0.471384848369229,1405267968,1506316288,130269144,0,historical committed post-cache projection/scoring,9EAEA4DEA7584A51593AB73D0884181CC64CF3080BB4317D3A28D9BFC3035646
MSL__M-3,NASA,NASA-MSL,NCTP only,IHP0_NCTP1,IHP0_NCTP1,0.0051392000168561935,5.1392000168561935,66,0.07786666692206354,1405267968,1506316288,130269144,0,historical committed post-cache projection/scoring,9EAEA4DEA7584A51593AB73D0884181CC64CF3080BB4317D3A28D9BFC3035646
MSL__M-3,NASA,NASA-MSL,Full,IHP1_NCTP1,FINAL_DEFAULT,0.013970699976198375,13.970699976198375,66,0.21167727236664205,1405267968,1506316288,130269144,0,historical committed post-cache projection/scoring,9EAEA4DEA7584A51593AB73D0884181CC64CF3080BB4317D3A28D9BFC3035646
MSL__M-4,NASA,NASA-MSL,REL,IHP0_NCTP0,LEGACY_DEFAULT,0.034464300028048456,34.464300028048456,65,0.5302200004315147,1402580992,1504751616,128793491,0,historical committed post-cache projection/scoring,D3E5F57061DDAB2294507B5E92B5CC1EF6D46393C764FE2A83ED35CC5E825D58
MSL__M-4,NASA,NASA-MSL,IHP only,IHP1_NCTP0,IHP1_NCTP0,0.01980729994829744,19.80729994829744,65,0.3047276915122683,1402580992,1504751616,128793491,0,historical committed post-cache projection/scoring,D3E5F57061DDAB2294507B5E92B5CC1EF6D46393C764FE2A83ED35CC5E825D58
MSL__M-4,NASA,NASA-MSL,NCTP only,IHP0_NCTP1,IHP0_NCTP1,0.008161499979905784,8.161499979905784,65,0.12556153815239668,1402580992,1504751616,128793491,0,historical committed post-cache projection/scoring,D3E5F57061DDAB2294507B5E92B5CC1EF6D46393C764FE2A83ED35CC5E825D58
MSL__M-4,NASA,NASA-MSL,Full,IHP1_NCTP1,FINAL_DEFAULT,0.009443899965845048,9.443899965845048,65,0.14529076870530844,1402580992,1504751616,128793491,0,historical committed post-cache projection/scoring,D3E5F57061DDAB2294507B5E92B5CC1EF6D46393C764FE2A83ED35CC5E825D58
MSL__M-5,NASA,NASA-MSL,REL,IHP0_NCTP0,LEGACY_DEFAULT,0.0234686000039801,23.4686000039801,69,0.34012463773884205,1402580992,1509588992,135140156,0,historical committed post-cache projection/scoring,4B1C44C92A95C24D123007EA910867039BA0388403034E06C7F988A722C9BCBA
MSL__M-5,NASA,NASA-MSL,IHP only,IHP1_NCTP0,IHP1_NCTP0,0.02391009998973459,23.91009998973459,69,0.34652318825702305,1402580992,1509588992,135140156,0,historical committed post-cache projection/scoring,4B1C44C92A95C24D123007EA910867039BA0388403034E06C7F988A722C9BCBA
MSL__M-5,NASA,NASA-MSL,NCTP only,IHP0_NCTP1,IHP0_NCTP1,0.0053057000041007996,5.3057000041008,69,0.0768942029579826,1402580992,1509588992,135140156,0,historical committed post-cache projection/scoring,4B1C44C92A95C24D123007EA910867039BA0388403034E06C7F988A722C9BCBA
MSL__M-5,NASA,NASA-MSL,Full,IHP1_NCTP1,FINAL_DEFAULT,0.010087099974043667,10.087099974043667,69,0.14618985469628504,1402580992,1509588992,135140156,0,historical committed post-cache projection/scoring,4B1C44C92A95C24D123007EA910867039BA0388403034E06C7F988A722C9BCBA
MSL__M-6,NASA,NASA-MSL,REL,IHP0_NCTP0,LEGACY_DEFAULT,0.02029790007509291,20.29790007509291,57,0.3561035100893493,1413517312,1491320832,113123571,0,historical committed post-cache projection/scoring,B5738EF1054C213BFC9896031D1381ADC8E7FDC391F27E04849A40C5BCCF0F02
